"model","additional_parameter_value","dimensionality","method","initial_density","CV"
"drift",0.05,1,"prediction",6010.1,0.29798
"drift",0.05,1,"prediction",6090.9,0.29798
"drift",0.05,1,"prediction",6171.7,0.29798
"drift",0.05,1,"prediction",6252.5,0.29798
"drift",0.05,1,"prediction",6333.3,0.29798
"drift",0.05,1,"prediction",6414.1,0.29798
"drift",0.05,1,"prediction",6494.9,0.29798
"drift",0.05,1,"prediction",6575.8,0.29798
"drift",0.05,1,"prediction",6656.6,0.29798
"drift",0.05,1,"prediction",6737.4,0.29798
"drift",0.05,1,"prediction",6818.2,0.29798
"drift",0.05,1,"prediction",6899,0.29798
"drift",0.05,1,"prediction",6979.8,0.29798
"drift",0.05,1,"prediction",7060.6,0.29798
"drift",0.05,1,"prediction",7141.4,0.29798
"drift",0.05,1,"prediction",7222.2,0.29798
"drift",0.05,1,"prediction",7303,0.29798
"drift",0.05,1,"prediction",7383.8,0.29798
"drift",0.05,1,"prediction",7464.6,0.29798
"drift",0.05,1,"prediction",7545.5,0.29798
"drift",0.05,1,"prediction",7626.3,0.29798
"drift",0.05,1,"prediction",7707.1,0.29798
"drift",0.05,1,"prediction",7787.9,0.29798
"drift",0.05,1,"prediction",7868.7,0.29798
"drift",0.05,1,"prediction",7949.5,0.29798
"drift",0.05,1,"prediction",8030.3,0.29798
"drift",0.05,1,"prediction",8111.1,0.29798
"drift",0.05,1,"prediction",8191.9,0.29798
"drift",0.05,1,"prediction",8272.7,0.29798
"drift",0.05,1,"prediction",8353.5,0.29798
"drift",0.05,1,"prediction",8434.3,0.29798
"drift",0.05,1,"prediction",8515.2,0.29798
"drift",0.05,1,"prediction",8596,0.29798
"drift",0.05,1,"prediction",8676.8,0.29798
"drift",0.05,1,"prediction",8757.6,0.29798
"drift",0.05,1,"prediction",8838.4,0.29798
"drift",0.05,1,"prediction",8919.2,0.29798
"drift",0.05,1,"prediction",9000,0.29798
"drift",0.1,1,"prediction",1000,0.29798
"drift",0.1,1,"prediction",1080.8,0.29798
"drift",0.1,1,"prediction",1161.6,0.29798
"drift",0.1,1,"prediction",1242.4,0.29798
"drift",0.1,1,"prediction",1323.2,0.29798
