Pen	BirdID	SeedDen	Habitat	FeedRate	Hx	Hc	Ht	ProVig	DurVig	SearchTime	FreqVig	Date	Time	Sex
1	BL	10	Stubble	0.318	0.6	0.587	1.187	0.51	1.6	0.18	0.318	18/11/2008	12	M
1	BR	10	Stubble	0.433	0.36	0.223	0.583	0.325	0.537	0.624	0.606	18/11/2008	12	F
1	RL	10	Stubble	0.785	0.5	0.409	0.909	0	0	0.307	0	18/11/2008	12	F
1	RR	10	Stubble	0.595	0.417	0.365	0.782	0.143	0.22	0.57	0.397	14/11/2008	12	F
1	RRBL	10	Stubble	0.573	0.423	0.429	0.852	0.168	0.272	0.613	0.573	18/11/2008	12	M
2	BL	10	Stubble	0.35	0.407	0.495	0.902	0.187	0.261	0.248	0.699	14/11/2008	10	F
2	BR	10	Stubble	0.708	0.38	0.503	0.883	0.184	0.39	0.324	0.472	12/11/2008	12	F
2	RL	10	Stubble	0.328	0.384	0.543	0.927	0.248	0.471	0.762	0.492	14/11/2008	10	M
2	RR	10	Stubble	0.253	0.55	1.052	1.602	0.204	0.485	0.552	0.421	14/11/2008	10	M
2	RRBL	10	Stubble	1.012	0.327	0.248	0.575	0.121	0.204	0.255	0.506	18/11/2008	10	M
3	BL	10	Stubble	0.672	0.453	0.447	0.9	0.027	0.2	0.542	0.134	16/11/2008	12	F
3	BR	10	Stubble	0.321	0.431	1.38	1.811	0.144	0.459	0.488	0.286	18/11/2008	10	M
3	RL	10	Stubble	0.769	0.418	0.416	0.834	0.127	0.19	0.468	0.385	16/11/2008	12	M
3	RR	10	Stubble	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	M
3	RRBL	10	Stubble	0.425	0.347	0.527	0.874	0.231	0.435	0.336	0.51	16/11/2008	12	M
4	BL	10	Stubble	0.267	0.532	0.344	0.876	0.144	0.72	1.28	0.201	16/11/2008	12	F
4	BR	10	Stubble	0.388	0.591	0.299	0.89	0.04	0.18	1.256	0.221	16/11/2008	12	M
4	RL	10	Stubble	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	F
4	RR	10	Stubble	0.875	0.329	0.217	0.546	0.21	0.4	0.152	0.583	16/11/2008	12	F
4	RRBL	10	Stubble	0.608	0.38	0.385	0.765	0.118	0.272	0.714	0.434	16/11/2008	12	F
1	BL	15	Stubble	0.794	0.366	0.309	0.675	0.048	0.12	0.293	0.397	19/11/2008	13	M
1	BR	15	Stubble	0.917	0.391	0.236	0.627	0.055	0.2	0.333	0.229	19/11/2008	13	F
1	RL	15	Stubble	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	F
1	RR	15	Stubble	0.254	0.407	0.473	0.88	0.165	1.08	1.604	0.153	19/11/2008	13	F
1	RRBL	15	Stubble	0.521	0.4	0.278	0.678	0.242	0.4	0.43	0.521	19/11/2008	13	M
2	BL	15	Stubble	0.383	0.571	0.8	1.371	0.063	0.15	1.388	0.164	19/11/2008	11	F
2	BR	15	Stubble	0.331	0.351	0.97	1.321	0.148	0.67	0.49	0.221	19/11/2008	11	F
2	RL	15	Stubble	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	M
2	RR	15	Stubble	0.233	0.383	0.36	0.743	0.427	0.74	1.426	0.279	19/11/2008	11	M
2	RRBL	15	Stubble	0.719	0.369	0.365	0.734	0.049	0.24	0.642	0.205	19/11/2008	11	M
3	BL	15	Stubble	0.328	0.62	0.38	1	0.239	0.607	0.276	0.393	14/11/2008	10	F
3	BR	15	Stubble	0.889	0.332	0.318	0.65	0	0	0.41	0	14/11/2008	10	M
3	RL	15	Stubble	1.06	0.299	0.234	0.533	0.155	0.11	0.273	0.53	14/11/2008	10	M
3	RR	15	Stubble	0.845	0.299	0.248	0.547	0.135	0.4	0.506	0.338	14/11/2008	10	M
3	RRBL	15	Stubble	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	M
4	BL	15	Stubble	0.753	0.42	0.5	0.92	0.163	0.2	0.096	0.602	19/11/2008	10	F
4	BR	15	Stubble	0.573	0.391	0.596	0.987	0.095	0.44	0.353	0.215	19/11/2008	10	M
4	RL	15	Stubble	0.768	0.504	0.36	0.864	0	0	0.373	0	12/11/2008	10	F
4	RR	15	Stubble	0.71	0.579	0.187	0.766	0.038	0.16	0.572	0.237	12/11/2008	10	F
4	RRBL	15	Stubble	0.581	0.516	0.431	0.947	0.09	0.12	0.763	0.327	12/11/2008	10	F
1	BL	25	Stubble	0.498	0.406	0.336	0.742	0.04	0.16	1.038	0.249	19/11/2008	13	M
1	BR	25	Stubble	0.546	0.38	0.483	0.863	0.151	0.4775	0.414	0.312	19/11/2008	13	F
1	RL	25	Stubble	0.66	0.356	0.277	0.633	0.109	0.35	0.12	0.22	19/11/2008	13	F
1	RR	25	Stubble	0.837	0.346	0.28	0.626	0.11	0.117	0.646	0.359	19/11/2008	13	F
1	RRBL	25	Stubble	0.429	0.375	0.451	0.826	0.147	0.48	0.402	0.306	19/11/2008	13	M
2	BL	25	Stubble	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	F
2	BR	25	Stubble	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	F
2	RL	25	Stubble	0.549	0.57	0.625	1.195	0.104	0.303	0.152	0.299	14/11/2008	11	M
2	RR	25	Stubble	0.482	0.44	0.555	0.995	0.235	0.61	0.376	0.385	14/11/2008	11	M
2	RRBL	25	Stubble	0.629	0.38	0.515	0.895	0.122	0.307	0.256	0.27	12/11/2008	12	M
3	BL	25	Stubble	0.675	0.457	0.37	0.827	0.26	0.963	0.2	0.253	13/11/2008	9	F
3	BR	25	Stubble	1.048	0.26	0.256	0.516	0.117	0.17	0.416	0.253	13/11/2008	9	M
3	RL	25	Stubble	0.397	0.567	0.76	1.327	0.18	0.68	1.007	0.265	21/11/2008	11	M
3	RR	25	Stubble	1.167	0.265	0.283	0.548	0.103	0.253	0.192	0.35	13/11/2008	9	M
3	RRBL	25	Stubble	0.321	0.734	0.584	1.318	0.148	0.423	0.508	0.321	13/11/2008	9	M
4	BL	25	Stubble	0.409	0.501	0.389	0.89	0.191	0.827	1.084	0.204	14/11/2008	12	F
4	BR	25	Stubble	0.314	0.667	0.86	1.527	0.361	0.267	0.248	0.285	14/11/2008	12	M
4	RL	25	Stubble	0.664	0.332	0.452	0.784	0.212	0.171	0.28	0.664	08/11/2008	12	F
4	RR	25	Stubble	0.71	0.294	0.252	0.546	0.218	0.34	0.448	0.631	08/11/2008	12	F
4	RRBL	25	Stubble	0.384	0.589	0.602	1.191	0.036	0.233	0.674	0.154	08/11/2008	12	F
1	BL	50	Stubble	0.933	0.339	0.269	0.608	0.138	0.493	0.312	0.28	14/11/2008	12	M
